,Judet,Localitate
252,Alba,Giurgiuț
253,Alba,Gligorești
254,Alba,Glod
255,Alba,Glogoveț
256,Alba,Goiești
257,Alba,Gojeiești
258,Alba,Gorgan
259,Alba,Groși
260,Alba,Gura Arieșului
261,Alba,Gura Cornei
262,Alba,Gura Cuțului
263,Alba,Gura Izbitei
264,Alba,Gura Roșiei
265,Alba,Gura Sohodol
266,Alba,Haiducești
267,Alba,Hațegana
268,Alba,Hădărău
269,Alba,Hănășești
270,Alba,Hănășești
271,Alba,Hăpria
272,Alba,Hărăști
273,Alba,Helerești
274,Alba,Helești
275,Alba,Henig
276,Alba,Heria
277,Alba,Hoancă
278,Alba,Hoancă
279,Alba,Hodișești
280,Alba,Hodobana
281,Alba,Holobani
282,Alba,Hopârta
283,Alba,Horea
284,Alba,Hudricești
285,Alba,Huzărești
286,Alba,Iacobești
287,Alba,Ibru
288,Alba,Iclod
289,Alba,Ighiel
290,Alba,Ighiu
291,Alba,Ignățești
292,Alba,Iliești
293,Alba,Incești
294,Alba,Incești
295,Alba,Inoc
296,Alba,Inuri
297,Alba,Isca
298,Alba,Ivăniș
299,Alba,Izbicioara
300,Alba,Izbita
301,Alba,Izlaz
302,Alba,Izvoarele
303,Alba,Izvoarele
304,Alba,Izvoru Ampoiului
305,Alba,Întregalde
306,Alba,Jeflești
307,Alba,Jidoștina
308,Alba,Jidvei
309,Alba,Jojei
310,Alba,Joldișești
311,Alba,Jurcuiești
312,Alba,Laz
313,Alba,Laz
314,Alba,Lazuri
315,Alba,Lazuri
316,Alba,Lăzești
317,Alba,Lăzești
318,Alba,Lehești
319,Alba,Leorinț
320,Alba,Lespezea
321,Alba,Limba
322,Alba,Lipaia
323,Alba,Livezile
324,Alba,Lodroman
325,Alba,Loman
326,Alba,Lopadea Nouă
327,Alba,Lopadea Veche
328,Alba,Luminești
329,Alba,Lunca
330,Alba,Lunca
331,Alba,Lunca
332,Alba,Lunca
333,Alba,Lunca Ampoiței
334,Alba,Lunca Bisericii
335,Alba,Lunca de Jos
336,Alba,Lunca Goiești
337,Alba,Lunca Largă
338,Alba,Lunca Largă
339,Alba,Lunca Merilor
340,Alba,Lunca Meteșului
341,Alba,Lunca Mureșului
342,Alba,Lunca Târnavei
343,Alba,Lunca Vesești
344,Alba,Lupăiești
345,Alba,Lupșa
346,Alba,Lupșeni
